data;consumo_gasbol;gasodutos_desequilibrio_perdas_ajustes;industrial;automotivo;residencial;comercial;ger_ele;cogeracao;outros_mais_GNC
01/01/2010;0,469;2,032910153;32,48384416;5,341120791;0,577244564;0,606912391;2,917468226;2,931808852;0,6032834
01/02/2010;0,828;2,50040628;34,78784411;5,68301132;0,549257108;0,553806565;6,932147453;2,44623673;0,72419347
01/03/2010;0,731;3,665747701;32,68743569;5,695271688;0,633348795;0,5962282;5,157663287;2,660952459;0,702018379
01/04/2010;0,54;1,781217369;33,48790949;5,410598679;0,77311657;0,598092421;5,05327771;2,743530185;0,739314376
01/05/2010;0,962;4,11576092;32,86248034;5,616536325;0,831643706;0,633221571;9,546518551;2,714889156;0,519893467
01/06/2010;1,08;3,211728881;35,72133953;5,315469707;0,915760003;0,668047886;15,43937093;3,060934068;0,731485684
01/07/2010;0,964;3,485426371;37,43747914;5,307963875;0,952792002;0,647503108;13,12960982;3,056663869;0,718207456
01/08/2010;1,16;3,028396041;36,10891688;5,544475086;0,868081511;0,630565835;23,91925704;3,134589329;0,707113233
01/09/2010;1,133;2,186682193;37,69135081;5,509821708;0,934295481;0,671929385;29,45439853;3,120462303;0,705117887
01/10/2010;0,994;4,359066024;38,22413889;5,465341612;0,911924445;0,645799876;26,83181729;2,978538181;0,676370488
01/11/2010;1,039;2,377449868;37,18501542;5,397082067;0,806158928;0,639219935;31,59600193;2,782492704;0,6542789
01/12/2010;0,727;2,968546339;35,69835601;5,704315451;0,768982309;0,652815937;19,21989898;3,209536661;0,797638496
01/01/2011;0,575;2,197812181;37,88684991;5,106323688;0,632417602;0,635558734;8,191930149;3,220469784;0,040949382
01/02/2011;1,1;-0,939858611;42,01831274;5,404237911;0,591254327;0,636307027;10,16825794;3,237735238;0,045700915
01/03/2011;0,9896;3,209773304;40,39275518;5,284604264;0,68767056;0,630228301;8,002410226;3,187757465;0,156085973
01/04/2011;0,6688;1,869163515;39,68589577;5,2776844;0,8606678;0,6521213;5,530721667;3,0830774;0,166065
01/05/2011;0,6751;3,182596852;41,26736929;5,43163;0,86052;0,66289;8,884413;2,9354;0,17056
01/06/2011;1,1405;2,813826864;41,48159065;5,43256;1,05346;0,69414;11,948997;3,12029;0,17319
01/07/2011;1,0701;2,37299281;41,87560061;5,26503;1,07062;0,74862;12,1228;2,9574;0,21469
01/08/2011;1,1813;3,201128873;42,97983109;5,41955;0,89878;0,68957;11,071038;2,94087;0,29144
01/09/2011;1,086;2,306656011;42,6018462;5,46073;1,04084;0,72717;10,84844;2,73685;0,23625
01/10/2011;1,020148387;2,741333055;41,54153758;5,50698;0,95495;0,70397;12,822199;2,88858;0,20507
01/11/2011;1,034;3,240638084;41,56300748;5,47411;0,91665;0,64875;12,756017;2,81771;0,19392
01/12/2011;0,617;3,587626414;39,16407561;5,76204;0,87067;0,76041;12,250175;2,98803;0,19404
01/01/2012;0,4047;1,306369177;41,66687919;5,17163;0,70921;0,64603;8,151868;2,95487;0,11786
01/02/2012;0,9975;2,380103896;42,50872984;5,34005;0,82631;0,66547;11,731839;3,0082;0,11557
01/03/2012;1,3227;3,060858394;41,73654832;5,48539;0,74925;0,70533;15,595586;2,92891;0,11185
01/04/2012;0,8951;2,475127022;41,07380701;5,35667;0,80693;0,70367;25,8582943;3,02729;0,09264
01/05/2012;1,1822;3,432073558;41,43776313;5,30005;0,90834;0,69836;23,95071106;3,20133;0,09362
01/06/2012;0,822;2,789051407;41,90639139;5,252748442;1,139804247;0,771523494;18,66672699;3,24055;0,11065
01/07/2012;0,5886;3,64910752;42,354859;5,178991695;1,049352097;0,744050717;12,0872555;3,125117851;0,107579068
01/08/2012;0,4685;3,18155;42,86809499;5,286809309;1,074753006;0,757069434;13,59407522;2,85065208;0,109649316
01/09/2012;1,0334;3,770955539;43,10732582;5,410914419;1,010117207;0,753013385;30,67525091;2,800061471;0,113983679
01/10/2012;1,1202;3,361106071;43,06054075;5,277251757;0,950983774;0,728329027;37,4934431;2,676108643;0,115104871
01/11/2012;1,1905;2,658290038;42,81628237;5,240970583;0,898986292;0,693252084;40,7744726;2,671526981;0,114000067
01/12/2012;1,1166;3,299573829;39,53673686;5,538110705;0,910974013;0,747650727;37,87648626;2,601217417;0,126594605
01/01/2013;1,1219;0,945724822;39,9184239;4,900819331;0,655000711;0,655130055;45,41588033;2,401541325;0,060163085
01/02/2013;1,0421;0,793054375;38,91058767;5,060025665;0,906318545;0,703946586;46,01916305;2,558725472;0,163787558
01/03/2013;1,1051;1,991726305;39,76948025;5,192116929;0,738280161;0,684944022;43,89901362;2,45637764;0,114037073
01/04/2013;1,0955;2,92180767;41,70125483;5,133701063;0,913938428;0,718843521;40,17709942;2,449358924;0,114726308
01/05/2013;1,1298;1,731269406;42,76352116;5,128677778;1,132559424;0,80067436;45,98758808;2,354734241;0,113306056
01/06/2013;1,2321;3,200238161;43,5240681;5,050901009;1,120132741;0,762447061;42,96379081;2,717142869;0,114767996
01/07/2013;1,1349;4,128980533;42,53693485;4,99904136;1,182504315;0,794769114;36,96152118;2,645241592;0,120758961
01/08/2013;1,078;4,276043778;41,73061369;5,158645961;1,159503835;0,731220106;38,69637662;2,440228196;0,115211882
01/09/2013;1,1742;2,411569806;42,49610057;5,165286848;1,139926817;0,769804418;35,6231481;2,465119308;0,081848739
01/10/2013;1,3293;2,378852271;42,94995945;5,184297844;1,079501109;0,75702599;34,51561568;2,216969162;0,087184914
01/11/2013;1,2379;2,853132627;44,37125303;5,184688496;1,069713217;0,782677135;36,58903827;2,550003914;0,085750042
01/12/2013;1,3199;2,667925872;40,97703859;5,338955682;0,950282439;0,799597088;34,57641087;2,331449656;0,087025975
01/01/2014;1,251;5,600178013;41,04495524;4,798558361;0,676493483;0,673217733;34,96222048;2,36445091;0,064742579
01/02/2014;1,254;4,785974902;43,1018922;5,161987395;0,642953034;0,729547223;45,88271652;2,529851837;0,078707366
01/03/2014;1,2226;3,996781269;44,32991034;4,966732375;0,784103742;0,749685713;48,88888813;2,53879014;0,06469296
01/04/2014;1,2906;2,425369404;43,86303296;4,935717161;0,998292539;0,77081937;47,61372612;2,534026864;0,046557738
01/05/2014;1,2899;4,539450113;43,26988327;4,978686937;0,970492382;0,731831439;49,2180834;2,684523862;0,039746
01/06/2014;1,1772;4,944998646;42,1883045;4,744442147;1,171498391;0,791089837;46,06446268;2,778020057;0,040744867
01/07/2014;1,2499;3,513952198;43,38543071;4,743434361;1,090685483;0,758520399;47,94757349;2,813067664;0,069991763
01/08/2014;1,2818;4,324420713;43,45889342;4,9801117;1,221524357;0,82895728;51,1116211;2,511634961;0,069309626
01/09/2014;1,1627;5,067286265;42,25884584;5,06456956;1,156586196;0,819872646;45,04907238;2,299858034;0,111611749
01/10/2014;1,1984;6,470265717;42,93926197;5,017466013;1,024104707;0,7973721;47,83128554;2,539844527;0,062477136
