dstrbdr;demanda_23ct;demanda_23st;clientes;rede
Algás;0,596;0,596;61628;614
Bahiagás;5,269;4,727;79688;1246
Cebgás;0,003;0,002;;0
CEG;6,123;4,045;998943;5122
CEG Rio;2,736;2,323;89864;1334
Cegás;0,543;0,492;29342;647
Cigás;5,169;0,831;17423;281
Comgás;12,991;12,032;2536529;19443
Compagás;0,848;0,823;54793;880
Copergás;2,787;2,709;82501;1215
ESGás;2,252;1,781;75785;519
Gás do Pará;0;0;0;0
Gasmar;2,248;0;0;0
Gasmig;2,825;2,766;95887;1675
Goiasgás;0;0;0;0
MSGás;0,573;0,482;18044;466
MTGás;0,048;0,048;0;0
Naturgy;0,847;0,83;97279;1906
Necta;0,756;0;41507;1274
PBGás;0,175;0,169;29662;381
Potigás;0,705;0,26;37581;504
SCGás;1,661;1,612;25890;1531
Sergás;0,804;0,814;36677;312
Sulgás;1,938;1,991;78368;1449
