data;import;produca_bruta;oferta_interna;reinj_perdas
1970;0;3,463013699;0,347945205;-3,115068493
1971;0;3,22739726;0,479452055;-2,747945205
1972;0;3,4;0,638356164;-2,761643836
1973;0;3,232876712;0,698630137;-2,534246575
1974;0;4,076712329;1,22739726;-2,849315068
1975;0;4,452054795;1,342465753;-3,109589041
1976;0;4,498630137;1,509589041;-2,989041096
1977;0;4,953424658;1,846575342;-3,106849315
1978;0;5,295890411;2,364383562;-2,931506849
1979;0;5,202739726;2,556164384;-2,646575342
1980;0;6,04109589;2,964383562;-3,076712329
1981;0;6,780821918;2,726027397;-4,054794521
1982;0;8,301369863;3,821917808;-4,479452055
1983;0;10,99452055;5,580821918;-5,41369863
1984;0;13,43013699;6,583561644;-6,846575342
1985;0;14,97808219;8,293150685;-6,684931507
1986;0;15,57808219;9,517808219;-6,060273973
1987;0;15,83835616;10,89315068;-4,945205479
1988;0;16,64657534;10,71506849;-5,931506849
1989;0;16,7260274;11,20821918;-5,517808219
1990;0;17,20273973;11,23561644;-5,967123288
1991;0;18,0739726;11,37260274;-6,701369863
1992;0;19,11232877;12,32328767;-6,789041096
1993;0;20,15068493;13,20547945;-6,945205479
1994;0;21,24931507;14,03561644;-7,21369863
1995;0;21,79452055;14,58082192;-7,21369863
1996;0;25,08493151;16,28506043;-8,799871078
1997;0;26,91780822;17,07663464;-9,841173581
1998;0;29,55616438;18,36699318;-11,1891712
1999;1,095890411;32,59726027;21,18366865;-12,50948204
2000;6,057534247;36,39178082;27,75494624;-14,69436883
2001;12,62465753;38,35068493;35,14911735;-15,82622512
2002;14,70958904;42,53424658;41,24697767;-15,99685794
2003;13,84931507;43,26575342;43,67411351;-13,44095498
2004;22,15342466;46,49589041;53,25359718;-15,39571789
2005;24,6508284;48,49096165;57,4728573;-15,66893275
2006;26,81917808;48,50958904;60,37498558;-14,95378154
2007;28,31232877;49,73055222;62,7755668;-15,26731419
2008;31,09013919;59,15795178;73,69433968;-16,55375129
2009;22,92;57,91;59,12447835;-21,70552165
2010;34,64976181;62,84505894;77,56505794;-19,92976281
2011;28,71569938;65,92876712;77,62577006;-17,01869645
2012;36,12074981;70,58;91,66464526;-15,03610456
2013;46,47;77,19;108,1777646;-15,48223543
2014;52,93;87,38;118,4395051;-21,87049491
2015;50,43;96,24;116,464615;-30,20538498
2016;32,13;103,8;101,4632547;-34,46674534
2017;29,37;109,87;106,4320359;-32,80796405
2018;29,03;111,94;101,5079367;-39,46206326
2019;26,8620274;122,532274;100,6573945;-48,73690685
2020;26,33194521;127,7791233;94,64944441;-59,46162408
2021;46,18;133,75;115,7120471;-64,21795289
2022;24,04;137,9125479;90,66124206;-71,29130589
