data;firme;firme inflexivel;interruptivel;put
01/01/2022;1680000;8205000;400000;400000
01/02/2022;1680000;8965000;400000;400000
01/03/2022;1730000;8845000;400000;625000
01/04/2022;1730000;8995000;400000;885000
01/05/2022;1730000;8995000;400000;885000
01/06/2022;1730000;9090000;400000;885000
01/07/2022;2030000;9285000;550000;885000
01/08/2022;2050000;9285000;550000;885000
01/09/2022;2050000;9285000;550000;935000
01/10/2022;2050000;9500000;1480000;935000
01/11/2022;2060000;9500000;1480000;935000
01/12/2022;2060000;9500000;1480000;935000
01/01/2023;2290000;10472000;1330000;745000
01/02/2023;2290000;10472000;1330000;745000
01/03/2023;2290000;10512000;1330000;745000
01/04/2023;2290000;10512000;1330000;745000
01/05/2023;2290000;10512000;1330000;745000
01/06/2023;2290000;10512000;1330000;745000
01/07/2023;5745000;10512000;1330000;745000
01/08/2023;5805000;10512000;1330000;745000
01/09/2023;5805000;10622000;1330000;745000
01/10/2023;5815000;10622000;1330000;745000
01/11/2023;5815000;10622000;1330000;745000
01/12/2023;5815000;17322000;1330000;745000
01/01/2024;6341000;32701000;1030000;591000
01/02/2024;6341000;33781000;1030000;591000
01/03/2024;6341000;32781000;1030000;591000
01/04/2024;6341000;32555396;1030000;591000
01/05/2024;6341000;32443387;1030000;591000
01/06/2024;6341000;32387395;1030000;591000
01/07/2024;6341000;32129566;1030000;591000
01/08/2024;6341000;32129566;1030000;591000
01/09/2024;6341000;32129566;1030000;591000
01/10/2024;6341000;32129566;1030000;591000
01/11/2024;6341000;32129566;1030000;591000
01/12/2024;6341000;32129566;1030000;591000
01/01/2025;5490000;30362566;0;186000
01/02/2025;5490000;30362566;0;186000
01/03/2025;5490000;30042566;0;186000
01/04/2025;5490000;30042566;0;186000
01/05/2025;5490000;30042566;0;186000
01/06/2025;5490000;30042566;0;186000
01/07/2025;5490000;30042566;0;186000
01/08/2025;5490000;30042566;0;186000
01/09/2025;5490000;30042566;0;186000
01/10/2025;5490000;30042566;0;186000
01/11/2025;5490000;30042566;0;186000
01/12/2025;5490000;30197566;0;186000
01/01/2026;6380000;26262184;0;83000
01/02/2026;6380000;26262184;0;83000
01/03/2026;6380000;26262184;0;83000
01/04/2026;6380000;26262184;0;83000
01/05/2026;6380000;26262184;0;83000
01/06/2026;6380000;26262184;0;83000
01/07/2026;6380000;26262184;0;83000
01/08/2026;6380000;26262184;0;83000
01/09/2026;6380000;26262184;0;83000
01/10/2026;6380000;26262184;0;83000
01/11/2026;6380000;26262184;0;83000
01/12/2026;6380000;26262184;0;83000
01/01/2027;6760000;24302184;0;83000
01/02/2027;6760000;24302184;0;83000
01/03/2027;6760000;24302184;0;83000
01/04/2027;6760000;24152184;0;83000
01/05/2027;6760000;24002184;0;83000
01/06/2027;6760000;24002184;0;83000
01/07/2027;6660000;24002184;0;33000
01/08/2027;6660000;24002184;0;33000
01/09/2027;6660000;24002184;0;33000
01/10/2027;6660000;24002184;0;33000
01/11/2027;6660000;24002184;0;33000
01/12/2027;6660000;24002184;0;33000
01/01/2028;6640000;23476184;0;33000
01/02/2028;6640000;23476184;0;33000
