fornecedor,vigencia,contratos
3R,De 1 a 2,1
3R,De 2 a 3,1
3R,De 3 a 4,1
Alvopetro,De 2 a 3,1
Alvopetro,De 4 a 5,1
ERG,De 1 a 2,1
Eagle,De 5 a 6,1
Equinor,De 1 a 2,1
Equinor,De 2 a 3,1
Equinor,De 3 a 4,1
GALP,De 10 a 11,1
GALP,De 12 a 13,1
GALP,De 18 a 19,1
GALP,De 2 a 3,1
GALP,De 3 a 4,2
GALP,De 9 a 10,3
NFE,De 4 a 5,1
Origem,De 2 a 3,1
Origem,De 6 a 7,1
Petrobras,De 1 a 2,1
Petrobras,De 10 a 11,10
Petrobras,De 3 a 4,6
Petrobras,De 4 a 5,5
Petrobras,De 6 a 7,3
Petrobras,De 8 a 9,14
Petrobras,De 9 a 10,2
Petroreconcavo,De 1 a 2,1
Petroreconcavo,De 10 a 11,2
Petroreconcavo,De 4 a 5,1
Potiguar,De 1 a 2,1
Shell,De 1 a 2,2
Shell,De 2 a 3,1
Shell,De 5 a 6,1
Shell,De 8 a 9,1
Shell,De 9 a 10,2
Tradener,De 1 a 2,1
Tradener,De 2 a 3,1
