data;AL;BA;CE;ES;MG;MS;PB;PE;PR ;RJ;RN;RS;SC;SE;SP
01/01/2022;0;3995000;50000;1600000;480000;320000;160000;750000;511000;0;0;0;1369000;0;900000
01/02/2022;640000;3995000;50000;1600000;480000;320000;160000;750000;511000;0;0;550000;1369000;0;1020000
01/03/2022;640000;3995000;325000;1600000;480000;320000;160000;750000;511000;0;0;550000;1369000;0;900000
01/04/2022;640000;3995000;325000;1600000;740000;320000;160000;750000;511000;0;0;550000;1519000;0;900000
01/05/2022;640000;3995000;325000;1600000;740000;320000;160000;750000;511000;0;0;550000;1519000;0;900000
01/06/2022;640000;4090000;325000;1600000;740000;320000;160000;750000;511000;0;0;550000;1519000;0;900000
01/07/2022;640000;4435000;325000;1600000;1000000;320000;160000;750000;511000;0;0;550000;1519000;40000;900000
01/08/2022;640000;4435000;325000;1600000;1020000;320000;160000;750000;511000;0;0;550000;1519000;40000;900000
01/09/2022;640000;4435000;375000;1600000;1020000;320000;160000;750000;511000;0;0;550000;1519000;40000;900000
01/10/2022;640000;4650000;375000;1600000;1020000;320000;160000;750000;811000;0;0;550000;2149000;40000;900000
01/11/2022;640000;4650000;375000;1600000;1020000;320000;160000;750000;811000;0;0;550000;2159000;40000;900000
01/12/2022;640000;4650000;375000;1600000;1020000;320000;160000;750000;811000;0;0;550000;2159000;40000;900000
01/01/2023;640000;5201000;520000;1708000;872000;320000;191000;1000000;750000;0;0;650000;2045000;40000;900000
01/02/2023;640000;5201000;520000;1708000;872000;320000;191000;1000000;750000;0;0;650000;2045000;40000;900000
01/03/2023;640000;5201000;520000;1708000;872000;320000;191000;1000000;750000;0;40000;650000;2045000;40000;900000
01/04/2023;640000;5201000;520000;1708000;872000;320000;191000;1000000;750000;0;40000;650000;2045000;40000;900000
01/05/2023;640000;5201000;520000;1708000;872000;320000;191000;1000000;750000;0;40000;650000;2045000;40000;900000
01/06/2023;640000;5201000;520000;1708000;872000;320000;191000;1000000;750000;0;40000;650000;2045000;40000;900000
01/07/2023;640000;5201000;520000;1828000;872000;320000;191000;1000000;750000;0;40000;650000;2045000;250000;4025000
01/08/2023;640000;5201000;520000;1828000;872000;320000;191000;1000000;750000;0;40000;650000;2045000;310000;4025000
01/09/2023;640000;5201000;520000;1828000;872000;320000;191000;1000000;750000;0;40000;760000;2045000;310000;4025000
01/10/2023;640000;5201000;520000;1828000;872000;320000;191000;1010000;750000;0;40000;760000;2045000;310000;4025000
01/11/2023;640000;5201000;520000;1828000;872000;320000;191000;1010000;750000;0;40000;760000;2045000;310000;4025000
01/12/2023;640000;5201000;520000;1828000;872000;320000;191000;1010000;750000;6700000;40000;760000;2045000;310000;4025000
01/01/2024;550000;5262000;522000;3015000;2700000;525000;291000;1575000;947000;6700000;240000;1510000;2666000;190000;13970000
01/02/2024;550000;5262000;522000;3015000;2700000;525000;171000;1575000;947000;6700000;240000;1510000;2666000;190000;15170000
01/03/2024;550000;5262000;522000;3215000;2700000;525000;171000;1575000;947000;6700000;240000;1510000;2666000;190000;13970000
01/04/2024;550000;5262000;522000;2989396;2700000;525000;171000;1575000;947000;6700000;240000;1510000;2666000;190000;13970000
01/05/2024;550000;5262000;522000;2877387;2700000;525000;171000;1575000;947000;6700000;240000;1510000;2666000;190000;13970000
01/06/2024;550000;5262000;522000;2821395;2700000;525000;171000;1575000;947000;6700000;240000;1510000;2666000;190000;13970000
01/07/2024;550000;5062000;522000;2763566;2700000;525000;171000;1575000;947000;6700000;240000;1510000;2666000;190000;13970000
01/08/2024;550000;5062000;522000;2763566;2700000;525000;171000;1575000;947000;6700000;240000;1510000;2666000;190000;13970000
01/09/2024;550000;5062000;522000;2763566;2700000;525000;171000;1575000;947000;6700000;240000;1510000;2666000;190000;13970000
01/10/2024;550000;5062000;522000;2763566;2700000;525000;171000;1575000;947000;6700000;240000;1510000;2666000;190000;13970000
01/11/2024;550000;5062000;522000;2763566;2700000;525000;171000;1575000;947000;6700000;240000;1510000;2666000;190000;13970000
01/12/2024;550000;5062000;522000;2763566;2700000;525000;171000;1575000;947000;6700000;240000;1510000;2666000;190000;13970000
01/01/2025;0;2690000;446000;2655566;2528000;525000;178000;1810000;957000;6700000;240000;1590000;2394000;305000;13020000
01/02/2025;0;2690000;446000;2655566;2528000;525000;178000;1810000;957000;6700000;240000;1590000;2394000;305000;13020000
01/03/2025;0;2690000;446000;2655566;2528000;205000;178000;1810000;957000;6700000;240000;1590000;2394000;305000;13020000
01/04/2025;0;2690000;446000;2655566;2528000;205000;178000;1810000;957000;6700000;240000;1590000;2394000;305000;13020000
01/05/2025;0;2690000;446000;2655566;2528000;205000;178000;1810000;957000;6700000;240000;1590000;2394000;305000;13020000
01/06/2025;0;2690000;446000;2655566;2528000;205000;178000;1810000;957000;6700000;240000;1590000;2394000;305000;13020000
01/07/2025;0;2690000;446000;2655566;2528000;205000;178000;1810000;957000;6700000;240000;1590000;2394000;305000;13020000
01/08/2025;0;2690000;446000;2655566;2528000;205000;178000;1810000;957000;6700000;240000;1590000;2394000;305000;13020000
01/09/2025;0;2690000;446000;2655566;2528000;205000;178000;1810000;957000;6700000;240000;1590000;2394000;305000;13020000
01/10/2025;0;2690000;446000;2655566;2528000;205000;178000;1810000;957000;6700000;240000;1590000;2394000;305000;13020000
01/11/2025;0;2690000;446000;2655566;2528000;205000;178000;1810000;957000;6700000;240000;1590000;2394000;305000;13020000
01/12/2025;0;2690000;446000;2655566;2528000;205000;178000;1810000;957000;6700000;240000;1590000;2638000;305000;12931000
01/01/2026;0;2183000;593000;1726184;2246000;239000;200000;1810000;691000;6700000;180000;1205000;2577000;305000;12070000
01/02/2026;0;2183000;593000;1726184;2246000;239000;200000;1810000;691000;6700000;180000;1205000;2577000;305000;12070000
01/03/2026;0;2183000;593000;1726184;2246000;239000;200000;1810000;691000;6700000;180000;1205000;2577000;305000;12070000
01/04/2026;0;2183000;593000;1726184;2246000;239000;200000;1810000;691000;6700000;180000;1205000;2577000;305000;12070000
01/05/2026;0;2183000;593000;1726184;2246000;239000;200000;1810000;691000;6700000;180000;1205000;2577000;305000;12070000
01/06/2026;0;2183000;593000;1726184;2246000;239000;200000;1810000;691000;6700000;180000;1205000;2577000;305000;12070000
01/07/2026;0;2183000;593000;1726184;2246000;239000;200000;1810000;691000;6700000;180000;1205000;2577000;305000;12070000
01/08/2026;0;2183000;593000;1726184;2246000;239000;200000;1810000;691000;6700000;180000;1205000;2577000;305000;12070000
01/09/2026;0;2183000;593000;1726184;2246000;239000;200000;1810000;691000;6700000;180000;1205000;2577000;305000;12070000
01/10/2026;0;2183000;593000;1726184;2246000;239000;200000;1810000;691000;6700000;180000;1205000;2577000;305000;12070000
01/11/2026;0;2183000;593000;1726184;2246000;239000;200000;1810000;691000;6700000;180000;1205000;2577000;305000;12070000
01/12/2026;0;2183000;593000;1726184;2246000;239000;200000;1810000;691000;6700000;180000;1205000;2577000;305000;12070000
01/01/2027;0;1183000;593000;1726184;2246000;219000;210000;1800000;691000;6700000;180000;1445000;2727000;305000;11120000
01/02/2027;0;1183000;593000;1726184;2246000;219000;210000;1800000;691000;6700000;180000;1445000;2727000;305000;11120000
01/03/2027;0;1183000;593000;1726184;2246000;219000;210000;1800000;691000;6700000;180000;1445000;2727000;305000;11120000
01/04/2027;0;1033000;593000;1726184;2246000;219000;210000;1800000;691000;6700000;180000;1445000;2727000;305000;11120000
01/05/2027;0;1033000;593000;1726184;2246000;219000;210000;1800000;691000;6700000;180000;1445000;2577000;305000;11120000
01/06/2027;0;1033000;593000;1726184;2246000;219000;210000;1800000;691000;6700000;180000;1445000;2577000;305000;11120000
01/07/2027;0;1033000;443000;1726184;2246000;219000;210000;1800000;691000;6700000;180000;1445000;2577000;305000;11120000
01/08/2027;0;1033000;443000;1726184;2246000;219000;210000;1800000;691000;6700000;180000;1445000;2577000;305000;11120000
01/09/2027;0;1033000;443000;1726184;2246000;219000;210000;1800000;691000;6700000;180000;1445000;2577000;305000;11120000
01/10/2027;0;1033000;443000;1726184;2246000;219000;210000;1800000;691000;6700000;180000;1445000;2577000;305000;11120000
01/11/2027;0;1033000;443000;1726184;2246000;219000;210000;1800000;691000;6700000;180000;1445000;2577000;305000;11120000
01/12/2027;0;1033000;443000;1726184;2246000;219000;210000;1800000;691000;6700000;180000;1445000;2577000;305000;11120000
01/01/2028;0;1033000;443000;1726184;2246000;208000;190000;1800000;691000;6700000;140000;1445000;2577000;305000;10645000
01/02/2028;0;1033000;443000;1726184;2246000;208000;190000;1800000;691000;6700000;140000;1445000;2577000;305000;10645000
01/03/2028;0;1033000;443000;1726184;2246000;208000;190000;1800000;691000;6700000;140000;1445000;2577000;305000;10645000
01/04/2028;0;1033000;443000;1726184;2246000;208000;190000;1800000;691000;6700000;140000;1445000;2577000;305000;10645000
01/05/2028;0;1033000;443000;1726184;2246000;208000;190000;1800000;691000;6700000;140000;1445000;2577000;305000;10645000
01/06/2028;0;1033000;443000;1726184;2246000;208000;190000;1800000;691000;6700000;140000;1445000;2577000;305000;10645000
01/07/2028;0;1033000;443000;1726184;2246000;208000;190000;1800000;691000;6700000;140000;1445000;2577000;305000;10645000
01/08/2028;0;1033000;443000;1726184;2246000;208000;190000;1800000;691000;6700000;140000;1445000;2577000;305000;10645000
01/09/2028;0;1033000;443000;1726184;2246000;208000;190000;1800000;691000;6700000;140000;1445000;2577000;305000;10645000
01/10/2028;0;1033000;443000;1726184;2246000;208000;190000;1800000;691000;6700000;140000;1445000;2577000;305000;10645000
01/11/2028;0;1033000;443000;1726184;2246000;208000;190000;1800000;691000;6700000;140000;1445000;2577000;305000;10645000
01/12/2028;0;1033000;443000;1726184;2246000;208000;190000;1800000;691000;6700000;140000;1445000;2577000;305000;10645000
01/01/2029;0;0;443000;1726184;1900000;198000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;10070000
01/02/2029;0;0;443000;1726184;1900000;198000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;10070000
01/03/2029;0;0;443000;1726184;1900000;198000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;10070000
01/04/2029;0;0;443000;1726184;1900000;198000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;10070000
01/05/2029;0;0;443000;1726184;1900000;198000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;10070000
01/06/2029;0;0;443000;1726184;1900000;198000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;10070000
01/07/2029;0;0;443000;1726184;1900000;198000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;10070000
01/08/2029;0;0;443000;1726184;1900000;198000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;10070000
01/09/2029;0;0;443000;1726184;1900000;198000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;10070000
01/10/2029;0;0;443000;1726184;1900000;198000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;10070000
01/11/2029;0;0;443000;1726184;1900000;198000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;10070000
01/12/2029;0;0;443000;1726184;1900000;198000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;10070000
01/01/2030;0;0;443000;1726184;1900000;188000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;9510000
01/02/2030;0;0;443000;1726184;1900000;188000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;9510000
01/03/2030;0;0;443000;1726184;1900000;188000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;9510000
01/04/2030;0;0;443000;1726184;1900000;188000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;9510000
01/05/2030;0;0;443000;1726184;1900000;188000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;9510000
01/06/2030;0;0;443000;1726184;1900000;188000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;9510000
01/07/2030;0;0;443000;1726184;1900000;188000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;9510000
01/08/2030;0;0;443000;1726184;1900000;188000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;9510000
01/09/2030;0;0;443000;1726184;1900000;188000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;9510000
01/10/2030;0;0;443000;1726184;1900000;188000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;9510000
01/11/2030;0;0;443000;1726184;1900000;188000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;9510000
01/12/2030;0;0;443000;1726184;1900000;188000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;9510000
01/01/2031;0;0;443000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;8953000
01/02/2031;0;0;443000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;8953000
01/03/2031;0;0;443000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;8953000
01/04/2031;0;0;443000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;8953000
01/05/2031;0;0;443000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;8953000
01/06/2031;0;0;443000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;8953000
01/07/2031;0;0;443000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;8953000
01/08/2031;0;0;443000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;8953000
01/09/2031;0;0;443000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;8953000
01/10/2031;0;0;443000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;8953000
01/11/2031;0;0;443000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;8953000
01/12/2031;0;0;443000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;305000;8953000
01/01/2032;0;0;230000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;255000;8875000
01/02/2032;0;0;230000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;255000;8875000
01/03/2032;0;0;230000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;255000;8875000
01/04/2032;0;0;230000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;255000;8875000
01/05/2032;0;0;230000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;255000;8875000
01/06/2032;0;0;230000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;255000;8875000
01/07/2032;0;0;230000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;255000;8875000
01/08/2032;0;0;230000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;255000;8875000
01/09/2032;0;0;230000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;255000;8875000
01/10/2032;0;0;230000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;255000;8875000
01/11/2032;0;0;230000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;255000;8875000
01/12/2032;0;0;230000;1726184;1900000;178000;190000;1800000;691000;4556000;140000;1445000;2577000;255000;8875000
01/01/2033;0;0;140000;600000;800000;178000;190000;1800000;483000;4556000;90000;420000;1377000;255000;8815000
01/02/2033;0;0;140000;600000;800000;178000;190000;1800000;483000;4556000;90000;420000;1377000;255000;8815000
01/03/2033;0;0;140000;600000;800000;178000;190000;1800000;483000;4556000;90000;420000;1377000;255000;8815000
01/04/2033;0;0;140000;600000;800000;178000;190000;1800000;483000;4556000;90000;420000;1377000;255000;8815000
01/05/2033;0;0;140000;600000;800000;178000;190000;1800000;483000;4556000;90000;420000;1377000;255000;8815000
01/06/2033;0;0;140000;600000;800000;178000;190000;1800000;483000;4556000;90000;420000;1377000;255000;8815000
01/07/2033;0;0;140000;600000;800000;178000;190000;1800000;483000;4556000;90000;420000;1377000;255000;5690000
01/08/2033;0;0;140000;600000;800000;178000;190000;1800000;483000;4556000;90000;420000;1377000;255000;5690000
01/09/2033;0;0;140000;600000;800000;178000;190000;1800000;483000;4556000;90000;420000;1377000;255000;5690000
01/10/2033;0;0;140000;600000;800000;178000;190000;1800000;483000;4556000;90000;420000;1377000;255000;5690000
01/11/2033;0;0;140000;600000;800000;178000;190000;1800000;483000;4556000;90000;420000;1377000;255000;5690000
01/12/2033;0;0;140000;600000;800000;178000;190000;1800000;483000;4556000;90000;420000;1377000;255000;5690000
01/01/2034;0;0;140000;400000;800000;178000;140000;1550000;483000;4556000;90000;420000;1377000;150000;5645000
01/02/2034;0;0;140000;400000;800000;178000;140000;1550000;483000;4556000;90000;420000;1377000;150000;5645000
01/03/2034;0;0;140000;400000;800000;178000;140000;1550000;483000;4556000;90000;420000;1377000;150000;5645000
01/04/2034;0;0;140000;400000;800000;178000;140000;1550000;483000;4556000;90000;420000;1377000;150000;5645000
01/05/2034;0;0;140000;400000;800000;178000;140000;1550000;483000;4556000;90000;420000;1377000;150000;5645000
01/06/2034;0;0;140000;400000;800000;178000;140000;1550000;483000;4556000;90000;420000;1377000;150000;5645000
01/07/2034;0;0;140000;400000;800000;178000;140000;1550000;483000;4556000;90000;420000;1377000;150000;5645000
01/08/2034;0;0;140000;400000;800000;178000;140000;1550000;483000;4556000;90000;420000;1377000;150000;5645000
01/09/2034;0;0;140000;400000;800000;178000;140000;1550000;483000;4556000;90000;420000;1377000;150000;5645000
01/10/2034;0;0;140000;400000;800000;178000;140000;1550000;483000;4556000;90000;420000;1377000;150000;5645000
01/11/2034;0;0;140000;400000;800000;178000;140000;1550000;483000;4556000;90000;420000;1377000;150000;5645000
01/12/2034;0;0;140000;400000;800000;178000;140000;1550000;483000;4556000;90000;420000;1377000;150000;5645000
